,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
0,jordan adams,2014-15,20.0,MEM,NBA,30,0.0,248.0,12.8,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,96.0,100.0,0.0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,Georgia ,Black,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",2014-2015,299,"Jordan Adams, SG",Memphis Grizzlies,1344120
1,steven adams,2014-15,21.0,OKC,NBA,70,67.0,1771.0,14.1,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,108.0,104.0,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,New zealand,White,2014,2016,C,7-0,255,"July 20, 1993",University of Pittsburgh,2014-2015,242,"Steven Adams, C",Oklahoma City Thunder,2184960
2,jeff adrien,2014-15,28.0,MIN,NBA,17,0.0,215.0,14.2,0.0,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,109.0,108.0,0.2,0.2,0.4,0.087,-2.7,0.5,-2.2,0.0,Massachusetts,Black,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,2014-2015,377,"Jeff Adrien, SF",Minnesota Timberwolves,742962
3,arron afflalo,2014-15,29.0,TOT,NBA,78,72.0,2502.0,10.7,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,103.0,111.0,1.6,1.0,2.6,0.05,-0.5,-1.3,-1.8,0.1,California,Black,2008,2016,G,6-5,210,"October 15, 1985","University of California, Los Angeles",2014-2015,79,"Arron Afflalo, SG",Portland Trail Blazers,7500000
4,alexis ajinca,2014-15,26.0,NOP,NBA,68,8.0,957.0,19.9,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,113.0,103.0,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,France,White,2009,2016,C,7-2,248,"May 6, 1988",,2014-2015,339,"Alexis Ajinca, C",New Orleans Pelicans,981084
5,furkan aldemir,2014-15,23.0,PHI,NBA,41,9.0,540.0,12.0,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,117.0,104.0,0.7,0.7,1.4,0.122,-2.7,2.0,-0.7,0.2,Turkey,White,2015,2015,F-C,6-10,240,"August 9, 1991",,2014-2015,209,"Furkan Aldemir, PF",Philadelphia 76ers,2963232
6,lamarcus aldridge,2014-15,29.0,POR,NBA,71,71.0,2512.0,22.8,0.074,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,108.0,102.0,4.9,3.7,8.6,0.165,0.3,0.0,0.3,1.4,Texas,Black,2007,2016,F,6-11,240,"July 19, 1985",University of Texas at Austin,2014-2015,14,"LaMarcus Aldridge, PF",Portland Trail Blazers,16006000
7,lavoy allen,2014-15,25.0,IND,NBA,63,0.0,1070.0,14.9,0.0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,109.0,102.0,1.3,1.6,2.8,0.127,-1.4,2.2,0.8,0.8,Pennsylvania ,Black,2012,2016,F-C,6-9,255,"February 4, 1989",Temple University,2014-2015,354,"Lavoy Allen, PF",Indiana Pacers,915243
8,tony allen,2014-15,33.0,MEM,NBA,63,41.0,1648.0,14.6,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,103.0,98.0,0.9,3.2,4.1,0.119,-0.4,3.7,3.3,2.2,Illinois,Black,2005,2016,G-F,6-4,213,"January 11, 1982",Oklahoma State University,2014-2015,135,"Tony Allen, SG",Memphis Grizzlies,4831461
9,al-farouq aminu,2014-15,24.0,DAL,NBA,74,3.0,1366.0,14.4,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,107.0,102.0,1.2,2.0,3.3,0.115,-0.5,2.9,2.4,1.5,Georgia,Black,2011,2016,F,6-9,215,"September 21, 1990",Wake Forest University,2014-2015,338,"Al-Farouq Aminu, SF",Dallas Mavericks,981084
