Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
quincy acy,2013-14,23.0,TOT,NBA,63,0.0,847.0,10.1,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,109.0,107.0,0.6,0.9,1.5,0.086,-2.5,1.4,-1.1,0.2,Texas ,Black,2013,2016,F,6-7,240,"October 6, 1990",Baylor University,2013-2014,326,"Quincy Acy, SF",Toronto Raptors,788872
steven adams,2013-14,20.0,OKC,NBA,81,20.0,1197.0,11.2,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,108.0,102.0,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,New zealand,White,2014,2016,C,7-0,255,"July 20, 1993",University of Pittsburgh,2013-2014,227,"Steven Adams, C",Oklahoma City Thunder,2090880
jeff adrien,2013-14,27.0,TOT,NBA,53,12.0,961.0,17.4,0.0,0.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,114.0,106.0,1.6,1.1,2.7,0.134,-1.4,0.3,-1.1,0.2,Massachusetts,Black,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,2013-2014,310,"Jeff Adrien, SF",Charlotte Bobcats,916099
arron afflalo,2013-14,28.0,ORL,NBA,73,73.0,2552.0,16.0,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,110.0,112.0,4.3,1.0,5.3,0.099,1.7,-2.3,-0.6,0.9,California,Black,2008,2016,G,6-5,210,"October 15, 1985","University of California, Los Angeles",2013-2014,83,"Arron Afflalo, SG",Orlando Magic,7500000
alexis ajinca,2013-14,25.0,NOP,NBA,56,30.0,951.0,14.6,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110.0,107.0,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,France,White,2009,2016,C,7-2,248,"May 6, 1988",,2013-2014,337,"Alexis Ajinca, C",New Orleans Pelicans,635880
lamarcus aldridge,2013-14,28.0,POR,NBA,69,69.0,2498.0,21.8,0.011,0.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,108.0,104.0,4.0,3.5,7.5,0.144,-0.4,0.7,0.3,1.5,Texas,Black,2007,2016,F,6-11,240,"July 19, 1985",University of Texas at Austin,2013-2014,20,"LaMarcus Aldridge, PF",Portland Trail Blazers,14878000
lavoy allen,2013-14,24.0,TOT,NBA,65,2.0,1072.0,12.5,0.043,0.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,104.0,108.0,0.6,0.9,1.5,0.066,-3.1,0.3,-2.8,-0.2,Pennsylvania ,Black,2012,2016,F-C,6-9,255,"February 4, 1989",Temple University,2013-2014,186,"Lavoy Allen, PF",Philadelphia 76ers,3060000
ray allen,2013-14,38.0,MIA,NBA,73,9.0,1936.0,12.8,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,111.0,109.0,2.5,1.5,4.1,0.101,1.3,-1.2,0.1,1.0,California,Black,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,2013-2014,174,"Ray Allen, SG",Miami Heat,3229050
tony allen,2013-14,32.0,MEM,NBA,55,28.0,1278.0,15.6,0.114,0.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,102.0,101.0,0.5,2.1,2.7,0.1,-0.1,2.4,2.3,1.4,Illinois,Black,2005,2016,G-F,6-4,213,"January 11, 1982",Oklahoma State University,2013-2014,132,"Tony Allen, SG",Memphis Grizzlies,4494383
al-farouq aminu,2013-14,23.0,NOP,NBA,80,65.0,2045.0,13.2,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,105.0,108.0,1.3,1.8,3.1,0.072,-1.4,1.0,-0.3,0.9,Georgia,Black,2011,2016,F,6-9,215,"September 21, 1990",Wake Forest University,2013-2014,154,"Al-Farouq Aminu, SF",New Orleans Pelicans,3749602
