Season,Tm,Age,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,state_or_country,Race,seniority,Pos,Ht,Wt,College,SALARY
2014-15,26.0,20.0,30,0.0,248.0,12.8,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,96.0,100.0,0.0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,84.0,1,3.0,1,6.0,195.57999999999998,209,120.0,1357561.2
2014-15,21.0,21.0,70,67.0,1771.0,14.1,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,108.0,104.0,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,40.0,0,2.0,2,4.0,213.36,255,82.0,2206809.6
2014-15,23.0,28.0,17,0.0,215.0,14.2,0.0,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,109.0,108.0,0.2,0.2,0.4,0.087,-2.7,0.5,-2.2,0.0,57.0,1,3.0,4,5.0,200.66,245,116.0,750391.62
2014-15,31.0,29.0,78,72.0,2502.0,10.7,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,103.0,111.0,1.6,1.0,2.6,0.05,-0.5,-1.3,-1.8,0.1,89.0,1,3.0,8,6.0,195.57999999999998,210,120.0,7575000.0
2014-15,30.0,26.0,68,8.0,957.0,19.9,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,113.0,103.0,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,76.0,0,2.0,7,4.0,218.44000000000003,248,125.0,990894.84
2014-15,1.0,23.0,41,9.0,540.0,12.0,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,117.0,104.0,0.7,0.7,1.4,0.122,-2.7,2.0,-0.7,0.2,50.0,0,2.0,0,2.0,208.28,240,125.0,2992864.32
2014-15,29.0,29.0,71,71.0,2512.0,22.8,0.074,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,108.0,102.0,4.9,3.7,8.6,0.165,0.3,0.0,0.3,1.4,86.0,1,3.0,9,5.0,210.82,240,117.0,16166060.0
2014-15,7.0,25.0,63,0.0,1070.0,14.9,0.0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,109.0,102.0,1.3,1.6,2.8,0.127,-1.4,2.2,0.8,0.8,81.0,1,3.0,4,2.0,205.74,255,44.0,924395.43
2014-15,26.0,33.0,63,41.0,1648.0,14.6,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,103.0,98.0,0.9,3.2,4.1,0.119,-0.4,3.7,3.3,2.2,87.0,1,3.0,11,3.0,193.04,213,93.0,4879775.61
2014-15,5.0,24.0,74,3.0,1366.0,14.4,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,107.0,102.0,1.2,2.0,3.3,0.115,-0.5,2.9,2.4,1.5,84.0,1,3.0,5,5.0,205.74,215,113.0,990894.84
2014-15,31.0,32.0,53,35.0,937.0,11.8,0.004,0.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,92.0,106.0,-0.6,0.9,0.3,0.017,-4.0,2.0,-2.0,0.0,89.0,1,1.0,9,5.0,205.74,220,101.0,413258.67
2014-15,18.0,36.0,60,20.0,1132.0,16.1,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,121.0,103.0,2.1,1.5,3.6,0.151,-1.2,2.3,1.0,0.9,89.0,1,1.0,14,2.0,208.28,245,52.0,5428750.0
2014-15,10.0,32.0,74,19.0,1744.0,10.6,0.477,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,109.0,109.0,1.7,1.1,2.7,0.075,0.0,-0.5,-0.5,0.6,67.0,1,3.0,10,3.0,198.12,220,112.0,1288821.61
2014-15,28.0,21.0,33,8.0,358.0,8.2,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,87.0,100.0,-0.3,0.6,0.3,0.044,-5.2,2.4,-2.7,-0.1,88.0,1,0.0,1,3.0,205.74,230,120.0,1104616.8
2014-15,30.0,26.0,61,5.0,1675.0,15.6,0.492,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,109.0,110.0,2.6,0.9,3.5,0.1,2.0,-3.1,-1.1,0.4,89.0,1,1.0,7,5.0,208.28,240,100.0,8576415.0
